,area,rooms,parking,bathrooms,lat,lon,price
378,210,4,3,5,-23.2035631,-45.8969895,1900000
379,56,2,1,1,-23.2434773,-45.9058528,285000
380,61,2,1,2,-23.2202839,-45.9064383,598000
381,74,3,2,2,-23.2415541,-45.9145547,477000
382,48,2,1,1,-23.2341234,-45.9256624,320000
383,63,2,1,1,-23.2308616,-45.8942314,450000
384,55,2,1,2,-23.2534054,-45.9166353,395000
385,62,2,2,2,-23.2417591,-45.8945046,400000
387,133,3,3,3,-23.2327074,-45.9275569,1385000
390,82,3,2,2,-23.2161228,-45.8885458,555000
391,87,2,2,3,-23.2078926,-45.8966025,1100000
392,142,3,2,2,-23.2296359,-45.8246352,1437000
393,74,3,1,2,-23.2213004,-45.8883248,475000
394,64,3,1,1,-23.2233825,-45.8847575,350000
395,142,3,2,4,-23.2140071,-45.841297,650000
397,75,3,1,2,-23.1853312,-45.8543047,450000
398,220,4,3,5,-23.2034236,-45.9105214,2332000
399,110,3,2,3,-23.2071612,-45.9009565,670000
401,61,2,1,1,-23.2202839,-45.9064383,598000
402,63,1,1,2,-23.2041152,-45.8853984,480000
403,57,2,1,2,-23.2308616,-45.8942314,324000
404,77,2,2,2,-23.2629313,-45.8910605,600000
405,57,1,2,1,-23.2092982,-45.9032947,750000
406,57,1,2,2,-23.2092982,-45.9032947,745000
408,52,2,1,1,-23.1982391,-45.8827334,380000
410,102,3,3,3,-23.2327074,-45.9275569,930000
411,84,3,2,2,-23.2276655,-45.9184689,545000
412,54,2,1,1,-23.2028182,-45.9003141,460000
413,89,2,2,2,-23.2534054,-45.9166353,700000
414,52,2,1,1,-23.1836107,-45.8043034,245000
415,98,3,2,2,-23.237943,-45.9011183,584000
417,52,2,1,1,-23.2264164,-45.8945991,360000
421,110,3,2,3,-23.2071612,-45.9009565,1199000
422,150,3,3,5,-23.2188486,-45.9097772,1889500
423,110,3,2,2,-23.2052682,-45.8881552,670000
424,58,2,2,2,-23.1979166,-45.9113619,616000
425,86,3,2,2,-23.2131162,-45.9078311,645000
426,56,2,1,2,-23.177608,-45.859793,421001
428,60,2,1,2,-23.1841579,-45.9547335,419900
429,104,3,2,3,-23.2265205,-45.8968879,790000
